cone(i)
0.863826
0.863826
0.863826
0.863826
0.863826
0.863826
0.044817
0.253389
0.970572
0.631466
0.287998
0.526006
0.653669
0.560014
0.821815
0.528396
0.809012
0.831488
0.309762
0.241656
0.947782
0.629126
0.459638
0.605084
0.975525
0.389576
0.927548
0.653797
0.579885
